Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
126541587,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126542093,000001CB,false,Rx,0,7,00,01,FF,CE,60,00,A9,00,
126542273,000001CC,false,Rx,0,4,00,3F,F5,8E,00,00,00,00,
126542466,0000054A,false,Rx,0,8,12,80,70,02,00,00,00,3F,
126542793,0000054B,false,Rx,0,8,10,08,80,00,04,00,00,00,
126548807,00000180,false,Rx,0,8,00,00,00,00,00,00,2B,00,
126548988,00000174,false,Rx,0,8,00,00,00,AA,0B,00,00,00,
126549185,00000176,false,Rx,0,7,00,00,00,00,00,00,0B,00,
126549371,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126549724,00000002,false,Rx,0,5,67,01,00,07,34,00,00,00,
126549730,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126551192,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126552097,000001CB,false,Rx,0,7,00,01,FF,CE,60,01,2C,00,
126552276,000001CC,false,Rx,0,4,00,3F,F5,9F,00,00,00,00,
126553520,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126555177,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126555183,00000358,false,Rx,0,8,04,0A,80,00,80,00,00,00,
126555189,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
126558801,00000180,false,Rx,0,8,00,00,00,00,00,00,2C,00,
126559001,00000174,false,Rx,0,8,00,00,00,AA,0C,00,00,00,
126559189,00000176,false,Rx,0,7,00,00,00,00,00,00,0C,00,
126559377,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126559695,00000002,false,Rx,0,5,67,01,00,07,25,00,00,00,
126559873,0000050A,false,Rx,0,8,04,E1,00,1C,00,21,04,00,
126560052,0000050D,false,Rx,0,8,FE,00,00,00,00,A8,00,00,
126560372,00000510,false,Rx,0,8,81,00,D0,01,06,02,00,FF,
126560549,00000551,false,Rx,0,8,00,00,00,00,FF,00,40,00,
126560728,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126560906,000005B3,false,Rx,0,8,64,58,FF,FF,C0,7E,5E,0A,
126561385,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126561704,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126561884,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126562242,000001CB,false,Rx,0,7,00,01,FF,CE,60,02,26,00,
126562249,000001CC,false,Rx,0,4,00,3F,F5,AC,00,00,00,00,
126568733,00000180,false,Rx,0,8,00,00,00,00,00,00,2D,00,
126569063,00000174,false,Rx,0,8,00,00,00,AA,0D,00,00,00,
126569246,00000176,false,Rx,0,7,00,00,00,00,00,00,0D,00,
126569434,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126569614,00000002,false,Rx,0,5,67,01,00,07,16,00,00,00,
126569793,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126569972,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
126571505,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126572119,000001CB,false,Rx,0,7,00,01,FF,CE,60,03,A3,00,
126572308,000001CC,false,Rx,0,4,00,3F,F5,BD,00,00,00,00,
126573481,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126573668,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126575106,0000060D,false,Rx,0,8,00,06,00,2A,00,00,00,00,
126576516,0000002A,false,Rx,0,6,00,00,00,00,00,04,00,00,
126578929,00000180,false,Rx,0,8,00,00,00,00,00,00,2E,00,
126579123,00000174,false,Rx,0,8,00,00,00,AA,0E,00,00,00,
126579328,00000176,false,Rx,0,7,00,00,00,00,00,00,0E,00,
126579508,00000002,false,Rx,0,5,67,01,00,07,07,00,00,00,
126579688,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126580579,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126581462,00000559,false,Rx,0,3,4C,10,10,00,00,00,00,00,
126581640,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126581961,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126582143,000001CB,false,Rx,0,7,00,01,FF,CE,60,00,A9,00,
126582332,000001CC,false,Rx,0,4,00,3F,F5,CA,00,00,00,00,
126588859,00000180,false,Rx,0,8,00,00,00,00,00,00,2F,00,
126589039,00000174,false,Rx,0,8,00,00,00,AA,0F,00,00,00,
126589233,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,0F,00,
126589436,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126589640,00000002,false,Rx,0,5,67,01,00,07,F8,00,00,00,
126589843,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
126591044,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126592111,000001CB,false,Rx,0,7,00,01,FF,CE,60,01,2C,00,
126592309,000001CC,false,Rx,0,4,00,3F,F5,DB,00,00,00,00,
126593489,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126593808,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126595275,00000385,false,Rx,0,7,00,00,00,00,00,00,00,00,
126598628,000005E4,false,Rx,0,3,04,00,00,00,00,00,00,00,
126598820,00000180,false,Rx,0,8,00,00,00,00,00,00,20,00,
126599142,00000174,false,Rx,0,8,00,00,00,AA,00,00,00,00,
126599340,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,00,00,
126599543,00000002,false,Rx,0,5,67,01,00,07,E9,00,00,00,
126599739,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126600578,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126601035,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126601217,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126601542,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126602175,000001CB,false,Rx,0,7,00,01,FF,CE,60,02,26,00,
126602181,000001CC,false,Rx,0,4,00,3F,F5,E8,00,00,00,00,
126603913,00000351,false,Rx,0,8,00,00,00,00,00,02,42,02,
126608773,00000180,false,Rx,0,8,00,00,00,00,00,00,21,00,
126608980,00000174,false,Rx,0,8,00,00,00,AA,01,00,00,00,
126609319,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,01,00,
126609498,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126609678,00000002,false,Rx,0,5,67,01,00,07,DA,00,00,00,
126609857,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
126611324,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126612061,000001CB,false,Rx,0,7,00,01,FF,CE,60,03,A3,00,
126612245,000001CC,false,Rx,0,4,00,3F,F5,F9,00,00,00,00,
126613555,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126613733,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126618803,00000180,false,Rx,0,8,00,00,00,00,00,00,22,00,
126618983,00000174,false,Rx,0,8,00,00,00,AA,02,00,00,00,
126619312,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,02,00,
126619492,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126619671,00000002,false,Rx,0,5,67,01,00,07,CB,00,00,00,
126620555,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126621012,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126621340,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126622077,000001CB,false,Rx,0,7,00,01,FF,CE,60,00,A9,00,
126622257,000001CC,false,Rx,0,4,00,3F,F5,06,00,00,00,00,
126626240,00000245,false,Rx,0,8,7F,E8,02,18,01,00,7F,E1,
126626428,00000292,false,Rx,0,8,FF,FF,FF,FF,F0,00,FF,01,
126626607,000006F6,false,Rx,0,3,79,00,00,00,00,00,00,00,
126628898,00000180,false,Rx,0,8,00,00,00,00,00,00,23,00,
126629079,00000174,false,Rx,0,8,00,00,00,AA,03,00,00,00,
126629406,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,03,00,
126629585,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126629764,00000002,false,Rx,0,5,67,01,00,07,BC,00,00,00,
126629975,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
126629981,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
126631434,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126632032,000001CB,false,Rx,0,7,00,01,FF,CE,60,01,2C,00,
126632214,000001CC,false,Rx,0,4,00,3F,F5,17,00,00,00,00,
126633523,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126633841,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126635256,00000625,false,Rx,0,6,02,00,FF,1D,20,00,00,00,
126636172,00000284,false,Rx,0,8,00,00,00,00,00,00,01,87,
126636354,00000285,false,Rx,0,8,00,00,00,00,00,00,01,88,
126636674,00000354,false,Rx,0,8,00,00,00,00,2A,08,00,18,
126638864,00000180,false,Rx,0,8,00,00,00,00,00,00,24,00,
126639200,00000174,false,Rx,0,8,00,00,00,AA,04,00,00,00,
126639406,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,04,00,
126639602,00000002,false,Rx,0,5,67,01,00,07,AD,00,00,00,
126639809,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126640611,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126641069,000005C5,false,Rx,0,8,40,01,67,67,00,0C,00,00,
126641401,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126641581,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126641899,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126642079,000001CB,false,Rx,0,7,00,01,FF,CE,60,02,26,00,
126642259,000001CC,false,Rx,0,4,00,3F,F5,24,00,00,00,00,
126642585,0000054A,false,Rx,0,8,DA,80,70,0E,00,00,00,72,
126642765,0000054B,false,Rx,0,8,10,08,80,00,04,00,00,00,
126646044,00000245,false,Rx,0,8,7F,E8,02,18,02,00,7F,E2,
126646375,00000292,false,Rx,0,8,FF,FF,FF,FF,F0,00,FF,02,
126648803,00000180,false,Rx,0,8,00,00,00,00,00,00,25,00,
126649125,00000174,false,Rx,0,8,00,00,00,AA,05,00,00,00,
126649313,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,05,00,
126649493,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126649672,00000002,false,Rx,0,5,67,01,00,07,9E,00,00,00,
126649851,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
126651444,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126652042,000001CB,false,Rx,0,7,00,00,FF,CE,60,03,54,00,
126652224,000001CC,false,Rx,0,4,00,3F,F5,35,00,00,00,00,
126653536,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126653891,00000358,false,Rx,0,8,04,0A,80,00,80,00,00,00,
126653898,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126655538,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
126656166,00000284,false,Rx,0,8,00,00,00,00,00,00,02,88,
126656360,00000285,false,Rx,0,8,00,00,00,00,00,00,02,89,
126658832,00000180,false,Rx,0,8,00,00,00,00,00,00,26,00,
126659155,00000174,false,Rx,0,8,00,00,00,AA,06,00,00,00,
126659359,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,06,00,
126659538,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126659716,00000002,false,Rx,0,5,67,01,00,07,8F,00,00,00,
126659896,0000050A,false,Rx,0,8,04,81,00,1C,00,21,04,00,
126660218,0000050D,false,Rx,0,8,FE,00,00,00,00,A8,00,00,
126660403,00000510,false,Rx,0,8,FF,00,D0,01,06,02,00,7E,
126660780,00000551,false,Rx,0,8,00,00,00,00,FF,00,40,00,
126660787,00000300,false,Rx,0,1,06,00,00,00,00,00,00,00,
126661107,000005B3,false,Rx,0,8,FF,58,FF,FF,FF,FF,5E,0A,
126661295,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126661614,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126662072,000001CB,false,Rx,0,7,00,00,FF,CE,60,00,5E,00,
126662254,000001CC,false,Rx,0,4,00,3F,F5,42,00,00,00,00,
126666097,00000245,false,Rx,0,8,7F,E8,02,18,03,00,7F,E3,
126666423,00000292,false,Rx,0,8,FF,FF,FF,FF,F0,00,FF,03,
126668854,00000180,false,Rx,0,8,00,00,00,00,00,00,27,00,
126669034,00000174,false,Rx,0,8,00,00,00,AA,07,00,00,00,
126669365,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,07,00,
126669545,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126669724,00000002,false,Rx,0,5,67,01,00,07,70,00,00,00,
126669903,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
126671499,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126672095,000001CB,false,Rx,0,7,00,00,FF,CE,60,01,DB,00,
126672272,000001CC,false,Rx,0,4,00,3F,F5,53,00,00,00,00,
126673585,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126673765,0000060D,false,Rx,0,8,00,06,00,2A,00,00,00,00,
126673944,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126676135,00000284,false,Rx,0,8,00,00,00,00,00,00,03,89,
126676322,0000002A,false,Rx,0,6,00,00,00,00,00,08,00,00,
126676642,00000285,false,Rx,0,8,00,00,00,00,00,00,03,8A,
126676821,00000354,false,Rx,0,8,00,00,00,00,2A,10,00,18,
126678877,00000180,false,Rx,0,8,00,00,00,00,00,00,28,00,
126679223,00000174,false,Rx,0,8,00,00,00,AA,08,00,00,00,
126679409,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,08,00,
126679613,00000002,false,Rx,0,5,67,01,00,07,61,00,00,00,
126679793,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126680569,00000300,false,Rx,0,1,04,00,00,00,00,00,00,00,
126681459,00000559,false,Rx,0,3,4C,10,10,00,00,00,00,00,
126681638,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126681957,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126682140,000001CB,false,Rx,0,7,00,00,FF,CE,60,02,D1,00,
126682335,000001CC,false,Rx,0,4,00,3F,F5,60,00,00,00,00,
126682654,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126687793,00000245,false,Rx,0,8,7F,E8,02,18,04,00,7F,E0,
126687973,00000292,false,Rx,0,8,FF,FF,FF,FF,F0,00,FF,00,
126688884,00000180,false,Rx,0,8,00,00,00,00,00,00,29,00,
126689085,00000174,false,Rx,0,8,00,00,00,AA,09,00,00,00,
126689450,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,09,00,
126689644,00000002,false,Rx,0,5,67,01,00,07,52,00,00,00,
126689686,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126689892,00000260,false,Rx,0,4,C8,C8,FF,F0,00,00,00,00,
